"word","cdv.txt","groen.txt","nva.txt","openvld.txt","pvda.txt","spa.txt","vlaamsbelang.txt"
"gevolgen",16,30,14,1,10,21,3
"jaarlijks",5,41,3,4,22,16,4
"voordelen",14,38,10,2,8,23,0
"groep",9,34,9,0,18,23,1
"opnemen",19,39,4,0,3,29,0
"raad",10,43,9,1,8,23,0
"verschil",20,17,4,4,10,38,1
"daardoor",8,44,8,5,12,14,2
"gelijk",6,29,13,4,16,25,0
"publiek",8,40,13,1,6,25,0
"sneller",15,28,14,4,4,25,3
"tegenover",16,33,12,5,14,10,3
"best",8,54,11,3,2,13,1
"bijdrage",11,32,7,3,10,29,0
"consument",21,50,2,0,3,16,0
"grootste",17,23,5,7,27,12,1
"instrumenten",27,35,9,5,0,16,0
"leveren",13,31,8,2,9,28,1
"nooit",15,21,5,3,15,26,7
"correcte",13,34,21,0,2,19,2
"gemeente",12,41,11,2,6,19,0
"risico",7,36,6,1,10,30,1
"situatie",8,34,6,1,19,20,3
"vlamingen",19,6,43,3,0,6,14
"behandeling",26,33,5,2,1,21,2
"beroep",11,33,15,4,8,16,3
"bestaan",11,33,7,4,13,20,2
"dienst",9,41,12,0,14,13,1
"momenteel",7,54,2,4,3,18,2
"project",16,23,9,4,4,27,7
"collectieve",12,40,2,0,14,21,0
"decreet",16,54,1,3,2,13,0
"dergelijke",11,50,3,1,1,22,1
"diverse",15,32,11,4,4,22,1
"procedures",15,30,12,11,1,18,2
"subsidies",13,43,4,2,14,10,3
"versterking",15,42,8,3,9,12,0
"volledige",19,26,4,5,7,19,9
"volwaardig",8,33,11,7,2,25,3
"werkloosheid",15,12,9,4,26,20,3
"afspraken",24,31,9,5,1,16,2
"legislatuur",20,37,0,11,2,16,2
"mogelijke",11,31,11,3,2,28,2
"onderzoeken",22,28,14,2,5,15,2
"persoon",10,39,8,4,2,25,0
"sterker",14,21,8,4,4,37,0
"werknemer",5,35,10,2,9,26,1
"zon",2,31,5,4,26,18,2
"gebied",35,20,2,1,2,26,1
"verminderen",18,21,9,9,14,14,2
"vindt",21,32,3,1,11,17,2
"expertise",16,22,10,4,0,34,0
"groter",15,29,10,1,10,17,4
"kost",5,25,3,5,23,19,6
"echte",5,24,4,3,8,37,4
"fiscaal",9,32,11,9,4,19,1
"gebeuren",18,39,9,0,4,15,0
"innovatieve",41,21,5,2,1,15,0
"kwalitatieve",26,36,10,0,0,12,1
"ondersteund",14,41,7,7,2,14,0
"richten",17,27,16,2,0,21,2
"verkeer",15,36,6,2,5,17,4
"vorming",13,35,6,4,4,22,1
"concrete",13,37,6,2,1,23,2
"gemeenschappen",18,31,8,1,9,17,0
"moeilijk",5,26,8,4,15,25,1
"regio",22,26,7,2,3,23,1
"structureel",15,32,17,1,4,13,2
"zouden",4,25,9,2,26,16,2
"bepalen",16,24,11,4,9,17,2
"budget",8,35,9,5,6,19,1
"efficiënt",0,27,18,8,4,24,2
"klimaat",10,30,6,6,22,8,1
"migratie",14,23,10,12,6,16,2
"praktijk",9,41,8,3,4,15,3
"sluiten",11,29,9,2,8,21,3
"uitgebreid",10,44,4,3,1,17,4
"verlagen",9,22,11,12,7,21,1
"volgen",11,26,14,2,11,18,1
"criteria",5,45,6,2,11,13,0
"delen",11,22,6,4,2,35,2
"democratie",2,39,6,2,17,13,3
"draagvlak",19,27,13,0,2,20,1
"handen",12,18,6,5,20,16,5
"mens",19,29,5,4,9,15,1
"ongelijkheid",5,20,0,0,22,35,0
"passen",5,37,12,4,4,19,1
"vervangen",6,32,5,2,21,13,3
"afhankelijk",10,30,5,2,15,18,1
"brengt",8,32,2,2,7,30,0
"dag",8,23,12,4,10,21,3
"oplossingen",21,26,3,4,10,16,1
"oudere",7,27,8,5,9,22,3
"slachtoffers",11,31,2,1,10,17,9
"soms",7,36,7,3,6,20,2
"thuis",6,26,12,8,2,21,6
"algemene",8,32,11,3,6,15,5
"belangen",16,19,8,7,12,16,2
"bereiken",25,22,6,2,1,24,0
"hogere",10,33,9,5,7,16,0
"komende",26,12,10,5,4,22,1
"mannen",2,31,1,1,29,15,1
"stappen",14,34,9,3,3,16,1
"toegankelijke",10,28,6,3,6,27,0
"veilig",21,23,7,4,6,16,3
"volwaardige",17,25,4,4,3,26,1
"voorbije",17,28,14,2,5,13,1
"zogenaamde",5,42,5,0,4,17,7
"ambtenaren",9,18,18,3,18,12,1
"belangrijkste",17,29,4,6,10,11,2
"bijna",9,22,6,2,26,13,1
"einde",4,26,5,7,13,17,7
"lager",7,32,6,0,20,13,1
"politiek",9,33,6,4,15,7,5
"probleem",1,39,1,2,12,22,2
"waarop",20,17,11,4,7,16,4
"ander",12,24,6,6,7,20,3
"betreft",12,24,2,2,9,24,5
"gebaseerd",19,25,8,4,6,13,3
"maanden",5,39,9,4,7,13,1
"sporten",13,42,3,0,1,19,0
"zie",3,57,10,1,4,3,0
"zoeken",11,27,8,2,9,21,0
"algemeen",12,29,6,2,14,13,1
"bouwsteen",74,3,0,0,0,0,0
"inkomsten",4,19,6,1,24,23,0
"kennen",7,25,12,7,7,19,0
"moderne",18,21,8,13,5,9,3
"periode",9,19,7,1,26,15,0
"richting",9,36,4,3,14,11,0
"terecht",15,30,4,1,4,23,0
"zelfstandigen",7,28,11,7,8,15,1
"beschermen",4,37,5,0,13,15,2
"beschikken",21,14,4,7,4,22,4
"gehouden",13,35,3,1,6,15,3
"grond",7,54,0,0,3,11,1
"juiste",11,18,8,4,3,31,1
"mei",2,3,3,56,10,0,2
"ondernemerschap",33,17,8,9,0,8,1
"productie",11,43,1,6,4,10,1
"risicos",0,39,2,2,10,23,0
"secundair",16,28,3,9,5,14,1
"sommige",11,28,6,1,12,14,4
"transparant",12,29,8,4,2,20,1
"voorzieningen",8,38,8,2,4,15,1
"anders",6,21,12,7,15,12,2
